TIPO_COD,COD,ETIQUETA
CVE_MUN_SSA,07099,LA TRINITARIA
CVE_MUN_SSA,07100,TUMBALÁ
CVE_MUN_SSA,07101,TUXTLA GUTIÉRREZ
CVE_MUN_SSA,07102,TUXTLA CHICO
CVE_MUN_SSA,07103,TUZANTÁN
CVE_MUN_SSA,07104,TZIMOL
CVE_MUN_SSA,07105,UNIÓN JUÁREZ
CVE_MUN_SSA,07106,VENUSTIANO CARRANZA
CVE_MUN_SSA,07107,VILLA CORZO
CVE_MUN_SSA,07108,VILLAFLORES
CVE_MUN_SSA,07109,YAJALÓN
CVE_MUN_SSA,07110,SAN LUCAS
CVE_MUN_SSA,07111,ZINACANTÁN
CVE_MUN_SSA,07112,SAN JUAN CANCUC
CVE_MUN_SSA,07113,ALDAMA
CVE_MUN_SSA,07114,BENEMÉRITO DE LAS AMÉRICAS
CVE_MUN_SSA,07115,MARAVILLA TENEJAPA
CVE_MUN_SSA,07116,MARQUÉS DE COMILLAS
CVE_MUN_SSA,07117,MONTECRISTO DE GUERRERO
CVE_MUN_SSA,07118,SAN ANDRÉS DURAZNAL
CVE_MUN_SSA,07119,SANTIAGO EL PINAR
CVE_MUN_SSA,07120,CAPITÁN LUIS ÁNGEL VIDAL
CVE_MUN_SSA,07121,RINCÓN CHAMULA SAN PEDRO
CVE_MUN_SSA,07122,EL PARRAL
CVE_MUN_SSA,07123,EMILIANO ZAPATA
CVE_MUN_SSA,07124,MEZCALAPA
CVE_MUN_SSA,07999,NO ESPECIFICADO
CVE_MUN_SSA,08001,AHUMADA
CVE_MUN_SSA,08002,ALDAMA
CVE_MUN_SSA,08003,ALLENDE
CVE_MUN_SSA,08004,AQUILES SERDÁN
CVE_MUN_SSA,08005,ASCENSIÓN
CVE_MUN_SSA,08006,BACHÍNIVA
CVE_MUN_SSA,08007,BALLEZA
CVE_MUN_SSA,08008,BATOPILAS DE MANUEL GÓMEZ MORÍN
CVE_MUN_SSA,08009,BOCOYNA
CVE_MUN_SSA,08010,BUENAVENTURA
CVE_MUN_SSA,08011,CAMARGO
CVE_MUN_SSA,08012,CARICHÍ
CVE_MUN_SSA,08013,CASAS GRANDES
CVE_MUN_SSA,08014,CORONADO
CVE_MUN_SSA,08015,COYAME DEL SOTOL
CVE_MUN_SSA,08016,LA CRUZ
CVE_MUN_SSA,08017,CUAUHTÉMOC
CVE_MUN_SSA,08018,CUSIHUIRIACHI
CVE_MUN_SSA,08019,CHIHUAHUA
CVE_MUN_SSA,08020,CHÍNIPAS
CVE_MUN_SSA,08021,DELICIAS
CVE_MUN_SSA,08022,DR. BELISARIO DOMÍNGUEZ
CVE_MUN_SSA,08023,GALEANA
CVE_MUN_SSA,08024,SANTA ISABEL
CVE_MUN_SSA,08025,GÓMEZ FARÍAS
CVE_MUN_SSA,08026,GRAN MORELOS
CVE_MUN_SSA,08027,GUACHOCHI
CVE_MUN_SSA,08028,GUADALUPE
CVE_MUN_SSA,08029,GUADALUPE Y CALVO
CVE_MUN_SSA,08030,GUAZAPARES
CVE_MUN_SSA,08031,GUERRERO
CVE_MUN_SSA,08032,HIDALGO DEL PARRAL
CVE_MUN_SSA,08033,HUEJOTITÁN
CVE_MUN_SSA,08034,IGNACIO ZARAGOZA
CVE_MUN_SSA,08035,JANOS
CVE_MUN_SSA,08036,JIMÉNEZ
CVE_MUN_SSA,08037,JUÁREZ
CVE_MUN_SSA,08038,JULIMES
CVE_MUN_SSA,08039,LÓPEZ
CVE_MUN_SSA,08040,MADERA
CVE_MUN_SSA,08041,MAGUARICHI
CVE_MUN_SSA,08042,MANUEL BENAVIDES
CVE_MUN_SSA,08043,MATACHÍ
CVE_MUN_SSA,08044,MATAMOROS
CVE_MUN_SSA,08045,MEOQUI
CVE_MUN_SSA,08046,MORELOS
CVE_MUN_SSA,08047,MORIS
CVE_MUN_SSA,08048,NAMIQUIPA
CVE_MUN_SSA,08049,NONOAVA
CVE_MUN_SSA,08050,NUEVO CASAS GRANDES
CVE_MUN_SSA,08051,OCAMPO
CVE_MUN_SSA,08052,OJINAGA
CVE_MUN_SSA,08053,PRAXEDIS G. GUERRERO
CVE_MUN_SSA,08054,RIVA PALACIO
CVE_MUN_SSA,08055,ROSALES
CVE_MUN_SSA,08056,ROSARIO
CVE_MUN_SSA,08057,SAN FRANCISCO DE BORJA
CVE_MUN_SSA,08058,SAN FRANCISCO DE CONCHOS
CVE_MUN_SSA,08059,SAN FRANCISCO DEL ORO
CVE_MUN_SSA,08060,SANTA BÁRBARA
CVE_MUN_SSA,08061,SATEVÓ
CVE_MUN_SSA,08062,SAUCILLO
CVE_MUN_SSA,08063,TEMÓSACHIC
CVE_MUN_SSA,08064,EL TULE
CVE_MUN_SSA,08065,URIQUE
CVE_MUN_SSA,08066,URUACHI
CVE_MUN_SSA,08067,VALLE DE ZARAGOZA
CVE_MUN_SSA,08999,NO ESPECIFICADO
CVE_MUN_SSA,09002,AZCAPOTZALCO
CVE_MUN_SSA,09003,COYOACÁN
CVE_MUN_SSA,09004,CUAJIMALPA DE MORELOS
CVE_MUN_SSA,09005,GUSTAVO A. MADERO
CVE_MUN_SSA,09006,IZTACALCO
CVE_MUN_SSA,09007,IZTAPALAPA
CVE_MUN_SSA,09008,LA MAGDALENA CONTRERAS
CVE_MUN_SSA,09009,MILPA ALTA
CVE_MUN_SSA,09010,ÁLVARO OBREGÓN
CVE_MUN_SSA,09011,TLÁHUAC
CVE_MUN_SSA,09012,TLALPAN
CVE_MUN_SSA,09013,XOCHIMILCO
CVE_MUN_SSA,09014,BENITO JUÁREZ
CVE_MUN_SSA,09015,CUAUHTÉMOC
CVE_MUN_SSA,09016,MIGUEL HIDALGO
CVE_MUN_SSA,09017,VENUSTIANO CARRANZA
CVE_MUN_SSA,09999,NO ESPECIFICADO
CVE_MUN_SSA,10001,CANATLÁN
CVE_MUN_SSA,10002,CANELAS
CVE_MUN_SSA,10003,CONETO DE COMONFORT
CVE_MUN_SSA,10004,CUENCAMÉ
CVE_MUN_SSA,10005,DURANGO
CVE_MUN_SSA,10006,GENERAL SIMÓN BOLÍVAR
CVE_MUN_SSA,10007,GÓMEZ PALACIO
CVE_MUN_SSA,10008,GUADALUPE VICTORIA
CVE_MUN_SSA,10009,GUANACEVÍ
CVE_MUN_SSA,10010,HIDALGO
CVE_MUN_SSA,10011,INDÉ
CVE_MUN_SSA,10012,LERDO
CVE_MUN_SSA,10013,MAPIMÍ
CVE_MUN_SSA,10014,MEZQUITAL
CVE_MUN_SSA,10015,NAZAS
CVE_MUN_SSA,10016,NOMBRE DE DIOS
